Seed,Listed Name,Team,Grade,Record,Scoring,Weight,Last Name,First Name,Name,Wgt-Seed,Full Listing,Points,,,,,,,,,,,
25,"Crook, Tom",Virginia Tech,,20-12,Yes,141,Crook,Tom,Tom Crook,141lbs-25,#25 Tom Crook (VT) 20-12,0,,,,,,,,,,,
26,"Basile, Braden",Army West Point,,17-6,Yes,141,Basile,Braden,Braden Basile,141lbs-26,#26 Braden Basile (ARMY) 17-6,0,,,,,,,,,,,
27,"Porter, Gable",Virginia,,20-8,Yes,141,Porter,Gable,Gable Porter,141lbs-27,#27 Gable Porter (UVA) 20-8,0,,,,,,,,,,,
28,"Manville, Pierson",Arizona State,,17-9,Yes,141,Manville,Pierson,Pierson Manville,141lbs-28,#28 Pierson Manville (ASU) 17-9,0,,,,,,,,,,,
29,"Titus, Jordan",West Virginia,,16-14,Yes,141,Titus,Jordan,Jordan Titus,141lbs-29,#29 Jordan Titus (WVU) 16-14,0,,,,,,,,,,,
30,"Lemus, Dario",Maryland,,17-13,Yes,141,Lemus,Dario,Dario Lemus,141lbs-30,#30 Dario Lemus (MARY) 17-13,0,,,,,,,,,,,
31,"DeKraker, Billy",Northwestern,,15-12,Yes,141,DeKraker,Billy,Billy DeKraker,141lbs-31,#31 Billy DeKraker (NW) 15-12,0,,,,,,,,,,,
32,"Martino, Matthew",Princeton,,15-15,Yes,141,Martino,Matthew,Matthew Martino,141lbs-32,#32 Matthew Martino (PRIN) 15-15,0,,,,,,,,,,,
33,"Hernandez, Aldo",Appalachian State,,18-14,Yes,141,Hernandez,Aldo,Aldo Hernandez,141lbs-33,#33 Aldo Hernandez (APP) 18-14,0,,,,,,,,,,,
1,"Van Ness, Shayne",Penn State,,21-0,Yes,149,Van Ness,Shayne,Shayne Van Ness,149lbs-1,#1 Shayne Van Ness (PSU) 21-0,0,,,,,,,,,,,
2,"Joy, Jaxon",Cornell,,24-1,Yes,149,Joy,Jaxon,Jaxon Joy,149lbs-2,#2 Jaxon Joy (COR) 24-1,0,,,,,,,,,,,
3,"Wasilewski, Cross",Penn,,24-3,Yes,149,Wasilewski,Cross,Cross Wasilewski,149lbs-3,#3 Cross Wasilewski (PENN) 24-3,0,,,,,,,,,,,
4,"Gaj, Collin",Virginia Tech,,20-8,Yes,149,Gaj,Collin,Collin Gaj,149lbs-4,#4 Collin Gaj (VT) 20-8,0,,,,,,,,,,,
5,"Buesgens, Koy",NC State,,21-3,Yes,149,Buesgens,Koy,Koy Buesgens,149lbs-5,#5 Koy Buesgens (NCST) 21-3,0,,,,,,,,,,,
6,"Tyus, Caleb",SIU Edwardsville,,22-2,Yes,149,Tyus,Caleb,Caleb Tyus,149lbs-6,#6 Caleb Tyus (SIUE) 22-2,0,,,,,,,,,,,
7,"Stiles, Ethan",Ohio State,,15-5,Yes,149,Stiles,Ethan,Ethan Stiles,149lbs-7,#7 Ethan Stiles (OHST) 15-5,0,,,,,,,,,,,
8,"Swiderski, Casey",Oklahoma State,,14-5,Yes,149,Swiderski,Casey,Casey Swiderski,149lbs-8,#8 Casey Swiderski (OKST) 14-5,0,,,,,,,,,,,
9,"Evans, David",Utah Valley,,20-5,Yes,149,Evans,David,David Evans,149lbs-9,#9 David Evans (UVU) 20-5,0,,,,,,,,,,,
10,"Valencia, Aden",Stanford,,16-7,Yes,149,Valencia,Aden,Aden Valencia,149lbs-10,#10 Aden Valencia (STAN) 16-7,0,,,,,,,,,,,
11,"McNeil, Lachlan",Michigan,,17-6,Yes,149,McNeil,Lachlan,Lachlan McNeil,149lbs-11,#11 Lachlan McNeil (MICH) 17-6,0,,,,,,,,,,,
12,"Young, Carter",Maryland,,15-4,Yes,149,Young,Carter,Carter Young,149lbs-12,#12 Carter Young (MARY) 15-4,0,,,,,,,,,,,
13,"Zargo, Joseph",Wisconsin,,18-6,Yes,149,Zargo,Joseph,Joseph Zargo,149lbs-13,#13 Joseph Zargo (WISC) 18-6,0,,,,,,,,,,,
14,"Rathjen, Caleb",Northern Iowa,,6-Sep,Yes,149,Rathjen,Caleb,Caleb Rathjen,149lbs-14,#14 Caleb Rathjen (UNI) 9-6,0,,,,,,,,,,,
15,"Block, Ryder",Iowa,,13-8,Yes,149,Block,Ryder,Ryder Block,149lbs-15,#15 Ryder Block (IOWA) 13-8,0,,,,,,,,,,,
16,"Frost, Jacob",Iowa State,,17-7,Yes,149,Frost,Jacob,Jacob Frost,149lbs-16,#16 Jacob Frost (ISU) 17-7,0,,,,,,,,,,,
17,"Kapusta, Lucas",Lock Haven,,25-4,Yes,149,Kapusta,Lucas,Lucas Kapusta,149lbs-17,#17 Lucas Kapusta (LHU) 25-4,0,,,,,,,,,,,
18,"Harney, Eugene",Morgan State,,28-4,Yes,149,Harney,Eugene,Eugene Harney,149lbs-18,#18 Eugene Harney (MOST) 28-4,0,,,,,,,,,,,
